,suicide_country,suicide_year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),Generation,WHR2018Chapter2OnlineData_country,WHR2018Chapter2OnlineData_year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate).1
3465,Japan,2007,female,5-14 years,16,5732000,0.28,4.52E+12,37408,Silent,Japan,2007,6.238197802999999,10.51045895,0.9381480809999999,73.66703033,0.796054125,-0.10719674800000001,0.8092333079999999,0.731493533,0.206579819,0.240005687,0.98999542,1.2875411509999999,1.989093781,0.318857133,0.321
3466,Japan,2008,male,55-74 years,7894,16197000,48.74,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3467,Japan,2008,male,35-54 years,7344,16657000,44.09,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3468,Japan,2008,male,75+ years,2132,4965000,42.94,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3469,Japan,2008,male,25-34 years,2651,8234000,32.2,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3470,Japan,2008,female,75+ years,1673,8207000,20.39,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3471,Japan,2008,male,15-24 years,1343,6650000,20.2,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3472,Japan,2008,female,55-74 years,2885,17395000,16.59,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3473,Japan,2008,female,25-34 years,1203,7933000,15.16,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3474,Japan,2008,female,35-54 years,2237,16400000,13.64,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3475,Japan,2008,female,15-24 years,652,6293000,10.36,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3476,Japan,2008,male,5-14 years,41,5982000,0.69,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3477,Japan,2008,female,5-14 years,18,5689000,0.32,5.04E+12,41773,Silent,Japan,2008,5.91067934,10.49897957,0.887304068,73.7388916,0.77207005,-0.15214093,0.816475332,0.779842138,0.190774098,0.22120147899999998,0.921506464,1.311800718,1.925752163,0.325808942,0.321
3478,Japan,2009,male,55-74 years,7983,16224000,49.2,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3479,Japan,2009,male,35-54 years,7799,16796000,46.43,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3480,Japan,2009,male,75+ years,2216,5174000,42.83,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3481,Japan,2009,male,25-34 years,2657,7987000,33.27,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3482,Japan,2009,male,15-24 years,1326,6514000,20.36,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3483,Japan,2009,female,75+ years,1649,8488000,19.43,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3484,Japan,2009,female,55-74 years,2820,17413000,16.19,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3485,Japan,2009,female,25-34 years,1085,7679000,14.13,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3486,Japan,2009,female,35-54 years,2328,16517000,14.09,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3487,Japan,2009,female,15-24 years,605,6163000,9.82,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3488,Japan,2009,male,5-14 years,34,5914000,0.57,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3489,Japan,2009,female,5-14 years,21,5627000,0.37,5.23E+12,43415,Silent,Japan,2009,5.844999313,10.44341087,0.888356864,74.04595184,0.729888022,-0.22664293600000002,0.740108192,0.7849903109999999,0.16947788,0.251777887,0.998390973,1.305969119,1.855513334,0.317453146,0.321
3490,Japan,2010,male,55-74 years,7466,16402437,45.52,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3491,Japan,2010,male,35-54 years,7351,17131261,42.91,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3492,Japan,2010,male,75+ years,2188,5345432,40.93,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3493,Japan,2010,male,25-34 years,2543,7822984,32.51,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3494,Japan,2010,male,15-24 years,1315,6324856,20.79,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3495,Japan,2010,female,75+ years,1686,8804107,19.15,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3496,Japan,2010,female,55-74 years,2879,17525806,16.43,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3497,Japan,2010,female,35-54 years,2404,16781836,14.33,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3498,Japan,2010,female,25-34 years,1008,7545642,13.36,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3499,Japan,2010,female,15-24 years,508,6008624,8.45,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3500,Japan,2010,male,5-14 years,42,5855595,0.72,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3501,Japan,2010,female,5-14 years,21,5578687,0.38,5.70E+12,47059,Silent,Japan,2010,6.056752682000001,10.48429871,0.901924908,73.96668243,0.7717223759999999,-0.157220587,0.769557059,0.827118337,0.187703073,0.27027148,0.960023105,1.358309865,1.978432059,0.32664898,0.321
3502,Japan,2011,male,55-74 years,6858,16343000,41.96,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3503,Japan,2011,male,35-54 years,6975,17224000,40.5,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3504,Japan,2011,male,75+ years,2188,5570000,39.28,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3505,Japan,2011,male,25-34 years,2404,7588000,31.68,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3506,Japan,2011,male,15-24 years,1304,6246000,20.88,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3507,Japan,2011,female,75+ years,1754,9092000,19.29,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3508,Japan,2011,female,55-74 years,2883,17447000,16.52,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3509,Japan,2011,female,35-54 years,2598,16861000,15.41,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3510,Japan,2011,female,25-34 years,1112,7314000,15.2,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3511,Japan,2011,female,15-24 years,616,5931000,10.39,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3512,Japan,2011,male,5-14 years,52,5792000,0.9,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3513,Japan,2011,female,5-14 years,22,5519000,0.4,6.16E+12,50919,Boomers,Japan,2011,6.262793541000001,10.48499584,0.916703701,73.74215698,0.814396441,-0.068781756,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,0.321
3526,Japan,2013,male,75+ years,2362,5964000,39.6,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3527,Japan,2013,male,35-54 years,6333,17367000,36.47,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3528,Japan,2013,male,55-74 years,5908,16202000,36.46,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3529,Japan,2013,male,25-34 years,2178,7186000,30.31,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3530,Japan,2013,male,15-24 years,1242,6143000,20.22,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3531,Japan,2013,female,75+ years,1713,9588000,17.87,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3532,Japan,2013,female,55-74 years,2604,17279000,15.07,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3533,Japan,2013,female,35-54 years,2242,16974000,13.21,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3534,Japan,2013,female,25-34 years,850,6913000,12.3,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3535,Japan,2013,female,15-24 years,467,5834000,8.0,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3536,Japan,2013,male,5-14 years,58,5666000,1.02,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3537,Japan,2013,female,5-14 years,34,5398000,0.63,5.16E+12,42781,Silent,Japan,2013,5.959361553,10.52268314,0.923688352,74.40352631,0.821416557,-0.164039567,0.650498211,0.7938088179999999,0.174621537,0.358106881,1.064394474,1.4583613869999998,1.9056199790000001,0.319769144,0.321
3538,Japan,2014,male,75+ years,2254,6104000,36.93,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3539,Japan,2014,male,55-74 years,5477,16213000,33.78,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3540,Japan,2014,male,35-54 years,5710,17365000,32.88,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3541,Japan,2014,male,25-34 years,2131,7007000,30.41,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3542,Japan,2014,male,15-24 years,1180,6110000,19.31,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3543,Japan,2014,female,75+ years,1587,9761000,16.26,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3544,Japan,2014,female,55-74 years,2512,17288000,14.53,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3545,Japan,2014,female,35-54 years,2158,16959000,12.72,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3546,Japan,2014,female,25-34 years,814,6734000,12.09,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3547,Japan,2014,female,15-24 years,432,5803000,7.44,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3548,Japan,2014,male,5-14 years,68,5596000,1.22,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3549,Japan,2014,female,5-14 years,34,5334000,0.64,4.85E+12,40328,Silent,Japan,2014,5.922620772999999,10.52736092,0.9000403290000001,74.63196564,0.8380517359999999,-0.156489342,0.617483139,0.7415080070000001,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.31966432899999997,0.321
3550,Japan,2015,male,75+ years,2297,6289365,36.52,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3551,Japan,2015,male,55-74 years,5241,16239222,32.27,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3552,Japan,2015,male,35-54 years,5507,17461022,31.54,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3553,Japan,2015,male,25-34 years,1948,6862886,28.38,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3554,Japan,2015,male,15-24 years,1091,6088330,17.92,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3555,Japan,2015,female,75+ years,1509,9983066,15.12,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3556,Japan,2015,female,55-74 years,2292,17232482,13.3,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3557,Japan,2015,female,35-54 years,2024,16991218,11.91,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3558,Japan,2015,female,25-34 years,685,6614211,10.36,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3559,Japan,2015,female,15-24 years,408,5772938,7.07,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3560,Japan,2015,male,5-14 years,62,5553851,1.12,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3561,Japan,2015,female,5-14 years,28,5287719,0.53,4.39E+12,36510,Silent,Japan,2015,5.879684448,10.540542599999998,0.9226571920000001,74.86040497,0.8316941859999999,-0.17242924899999998,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,0.321
3562,Kazakhstan,2006,male,25-34 years,944,1189058,79.39,81003884545,5770,Generation X,Kazakhstan,2006,5.475948334,9.772315025,0.87208885,58.37733078,0.730545938,-0.287754983,0.8649824859999999,0.668787658,0.185065165,0.733144045,-0.490703702,-0.6994437579999999,1.841373086,0.336265594,0.295066667
3563,Kazakhstan,2006,male,35-54 years,1225,1915309,63.96,81003884545,5770,Boomers,Kazakhstan,2006,5.475948334,9.772315025,0.87208885,58.37733078,0.730545938,-0.287754983,0.8649824859999999,0.668787658,0.185065165,0.733144045,-0.490703702,-0.6994437579999999,1.841373086,0.336265594,0.295066667
3564,Kazakhstan,2006,male,75+ years,71,116133,61.14,81003884545,5770,Silent,Kazakhstan,2006,5.475948334,9.772315025,0.87208885,58.37733078,0.730545938,-0.287754983,0.8649824859999999,0.668787658,0.185065165,0.733144045,-0.490703702,-0.6994437579999999,1.841373086,0.336265594,0.295066667
3565,Kazakhstan,2006,male,55-74 years,436,730464,59.69,81003884545,5770,Silent,Kazakhstan,2006,5.475948334,9.772315025,0.87208885,58.37733078,0.730545938,-0.287754983,0.8649824859999999,0.668787658,0.185065165,0.733144045,-0.490703702,-0.6994437579999999,1.841373086,0.336265594,0.295066667
3566,Kazakhstan,2006,male,15-24 years,657,1530192,42.94,81003884545,5770,Millenials,Kazakhstan,2006,5.475948334,9.772315025,0.87208885,58.37733078,0.730545938,-0.287754983,0.8649824859999999,0.668787658,0.185065165,0.733144045,-0.490703702,-0.6994437579999999,1.841373086,0.336265594,0.295066667
3567,Kazakhstan,2006,female,75+ years,53,282507,18.76,81003884545,5770,Silent,Kazakhstan,2006,5.475948334,9.772315025,0.87208885,58.37733078,0.730545938,-0.287754983,0.8649824859999999,0.668787658,0.185065165,0.733144045,-0.490703702,-0.6994437579999999,1.841373086,0.336265594,0.295066667
